customer_term,matched_product_code,matched_product_name,confidence_score,reasoning,match_type,timestamp,source_files
PURISTUSKÄYRÄ 90 S/U ZN 22 SANHA,0487725,M-PRESS SINK KÄYRÄ 90 S/U 22,0.9,"Customer requests a galvanized 90-degree press elbow (S/U) 22mm. The offer provides an 'M-PRESS SINK' 90-degree elbow (S/U) for 22mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"TERÄSPUTKI Zn 22x1,5x6000 SANHA",0478180,"TERÄSPUTKI SINK PN16 6M 22X1,5",0.95,"Customer requests a galvanized steel pipe 22x1.5mm, 6000mm long. The offer provides a 'SINK' steel pipe 22x1.5mm, 6m long. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSKÄYRÄ 90 S/S ZN 22 SANHA,0487714,M-PRESS SINK KÄYRÄ 90 S/S 22,0.9,"Customer requests a galvanized 90-degree press elbow (S/S) 22mm. The offer provides an 'M-PRESS SINK' 90-degree elbow (S/S) for 22mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSLIITIN SK ZN 1x28 SANHA,0487865,M-PRESS SINK LIITIN/MUHVI SK 28 X 1,0.9,"Customer requests a galvanized press fitting (SK = internal thread) 1x28. The offer provides an 'M-PRESS SINK LIITIN/MUHVI' (SK) 28x1. '1x28' implies 1"" thread and 28mm pipe, which matches '28 X 1'. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS T-YHDE ZN 28 SANHA,0487756,M-PRESS SINK T-HAARA 28,0.9,"Customer requests a galvanized press T-joint 28mm. The offer provides an 'M-PRESS SINK T-HAARA' (T-branch) for 28mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSKÄYRÄ 90 S/U Zn 28 SANHA,0487726,M-PRESS SINK KÄYRÄ 90 S/U 28,0.9,"Customer requests a galvanized 90-degree press elbow (S/U) 28mm. The offer provides an 'M-PRESS SINK' 90-degree elbow (S/U) for 28mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S ZN 28x18 SANHA,0487874,M-PRESS SINK SUPISTUSYHDE 28 X 18,0.9,"Customer requests a galvanized press reducing coupling (U/S = external/internal) 28x18. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' (reducing coupling) 28x18. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSKÄYRÄ 90 S/S Zn 28 SANHA,0487715,M-PRESS SINK KÄYRÄ 90 S/S 28,0.9,"Customer requests a galvanized 90-degree press elbow (S/S) 28mm. The offer provides an 'M-PRESS SINK' 90-degree elbow (S/S) for 28mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"TERÄSPUTKI ZN 28x1,5x3000 SANHA",0478223,"TERÄSPUTKI SINK PN16 3M 28X1,5",0.95,"Customer requests a galvanized steel pipe 28x1.5mm, 3000mm long. The offer provides a 'SINK' steel pipe 28x1.5mm, 3m long. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"TERÄSPUTKI Zn 28x1,5x6000 SANHA",0478182,"TERÄSPUTKI SINK PN16 6M 28X1,5",0.95,"Customer requests a galvanized steel pipe 28x1.5mm, 6000mm long. The offer provides a 'SINK' steel pipe 28x1.5mm, 6m long. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S ZN 35x28 SANHA,0487879,M-PRESS SINK SUPISTUSYHDE 35 X 28,0.9,"Customer requests a galvanized press reducing coupling (U/S) 35x28. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' 35x28. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS T-SUPISTUSYHDE ZN 35x28x35 SANHA,0487798,M-PRESS SINK T-HAARA 35 X 28,0.9,"Customer requests a galvanized press reducing T-joint 35x28x35. The offer provides an 'M-PRESS SINK T-HAARA' (T-branch) 35x28. 'T-SUPISTUSYHDE' and 'T-HAARA' are synonyms, and the dimensions match.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS T-YHDE Zn 35 SANHA,0487757,M-PRESS SINK T-HAARA 35,0.9,"Customer requests a galvanized press T-joint 35mm. The offer provides an 'M-PRESS SINK T-HAARA' for 35mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S Zn 35x22 SANHA,0487878,M-PRESS SINK SUPISTUSYHDE 35 X 22,0.9,"Customer requests a galvanized press reducing coupling (U/S) 35x22. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' 35x22. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSMUHVI ZN 35 SANHA,0487814,M-PRESS SINK MUHVI 35,0.9,"Customer requests a galvanized press sleeve 35mm. The offer provides an 'M-PRESS SINK MUHVI' for 35mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSKÄYRÄ 90 S/S Zn 35 SANHA,0487716,M-PRESS SINK KÄYRÄ 90 S/S 35,0.9,"Customer requests a galvanized 90-degree press elbow (S/S) 35mm. The offer provides an 'M-PRESS SINK' 90-degree elbow (S/S) for 35mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"TERÄSPUTKI Zn 35x1,5x6000 SANHA",0478184,"TERÄSPUTKI SINK PN16 6M 35X1,5",0.95,"Customer requests a galvanized steel pipe 35x1.5mm, 6000mm long. The offer provides a 'SINK' steel pipe 35x1.5mm, 6m long. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S Zn 42x35 SANHA,0487882,M-PRESS SINK SUPISTUSYHDE 42 X 35,0.9,"Customer requests a galvanized press reducing coupling (U/S) 42x35. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' 42x35. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S ZN 42x28 SANHA,0487881,M-PRESS SINK SUPISTUSYHDE 42 X 28,0.9,"Customer requests a galvanized press reducing coupling (U/S) 42x28. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' 42x28. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS T-SUPISTUSYHDE ZN 42x22x42 SANHA,0487799,M-PRESS SINK T-HAARA 42 X 22,0.9,"Customer requests a galvanized press reducing T-joint 42x22x42. The offer provides an 'M-PRESS SINK T-HAARA' 42x22. 'T-SUPISTUSYHDE' and 'T-HAARA' are synonyms, and the dimensions match.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS T-YHDE Zn 42 SANHA,0487758,M-PRESS SINK T-HAARA 42,0.9,"Customer requests a galvanized press T-joint 42mm. The offer provides an 'M-PRESS SINK T-HAARA' for 42mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSMUHVI ZN 42 SANHA,0487815,M-PRESS SINK MUHVI 42,0.9,"Customer requests a galvanized press sleeve 42mm. The offer provides an 'M-PRESS SINK MUHVI' for 42mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"TERÄSPUTKI Zn 42x1,5x6000 SANHA",0478186,"TERÄSPUTKI SINK PN16 6M 42X1,5",0.95,"Customer requests a galvanized steel pipe 42x1.5mm, 6000mm long. The offer provides a 'SINK' steel pipe 42x1.5mm, 6m long. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S Zn 54x35 SANHA,0487885,M-PRESS SINK SUPISTUSYHDE 54 X 35,0.9,"Customer requests a galvanized press reducing coupling (U/S) 54x35. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' 54x35. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS SUPISTUSYHDE U/S ZN 54x42 SANHA,0487886,M-PRESS SINK SUPISTUSYHDE 54 X 42,0.9,"Customer requests a galvanized press reducing coupling (U/S) 54x42. The offer provides an 'M-PRESS SINK SUPISTUSYHDE' 54x42. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUS T-YHDE Zn 54 SANHA,0487759,M-PRESS SINK T-HAARA 54,0.9,"Customer requests a galvanized press T-joint 54mm. The offer provides an 'M-PRESS SINK T-HAARA' for 54mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"TERÄSPUTKI ZN 54x1,5x3000 SANHA",0478226,"TERÄSPUTKI SINK PN16 3M 54X1,5",0.95,"Customer requests a galvanized steel pipe 54x1.5mm, 3000mm long. The offer provides a 'SINK' steel pipe 54x1.5mm, 3m long. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
PURISTUSKÄYRÄ 90 S/S Zn 54 SANHA,0487718,M-PRESS SINK KÄYRÄ 90 S/S 54,0.9,"Customer requests a galvanized 90-degree press elbow (S/S) 54mm. The offer provides an 'M-PRESS SINK' 90-degree elbow (S/S) for 54mm. Brand difference, but equivalent product.",equivalent,2025-09-02T22:11:30.154810,customer_example1.txt + offer_example1.txt
"KULMAYHDE RST ACO 110x87,5 0,00",0250834,"KULMAYHDE 110 - 87,5º S HST BLÜCHER",0.9,"Both are 110x87.5 degree elbows made of stainless steel (RST/HST). 'ACO' and 'BLÜCHER' are different brands but functionally equivalent. Customer requested 0 quantity, offer has 1.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"Viemäriputket 32X3000 4,00 KPL",2420031,MUHVITON PUTKI PP 32 X 3000,0.95,"Both are 32x3000mm pipes for drainage. 'PP' (polypropylene) is a common material for 'Viemäriputket' (drain pipes). 'Muhviton' (socketless) is a specific type, but the core dimensions and purpose match. Quantity matches.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"Viemäriputket 50x3000 1,00 KPL",2411163,MUHVIPUTKI PP 50 X 3000,0.95,Both are 50x3000mm pipes for drainage. 'PP' (polypropylene) is a common material for 'Viemäriputket' (drain pipes). 'Muhviputki' (socket pipe) is a standard type. Quantity matches.,equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIPUTKI 75X3000 6,00 kpl",2410164,MUHVIPUTKI PP 75 X 3000,1.0,"Exact match in type, size, length, and quantity. 'PP' is the standard material for these drain pipes.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIPUTKI 110X3000 11,00 kpl",2410166,MUHVIPUTKI PP 110 X 3000,1.0,"Exact match in type, size, length, and quantity. 'PP' is the standard material for these drain pipes.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"HUOM TUULETUSPUTKI 6 kpl 3000x110 putkea 6,00 kpl",2410166,MUHVIPUTKI PP 110 X 3000,0.95,Standard PP drain pipes ('muhviputki') are commonly used as ventilation pipes ('tuuletusputki'). The dimensions and quantity match.,equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIPUHDISTUSYHDE HTP 110 1,00",2470186,MUHVIPUHDISTUSYHDE 110 HTP,1.0,"Exact match in type, size, and quantity. 'HTP' is specified in both.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"KULMAYHDE HTP 75X45 20,00",2430024,KULMAYHDE 75 X 45,1.0,"Exact match in type, size, angle, and quantity. 'HTP' is implied for these standard PP fittings.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"KULMAYHDE HTP 110X45 0,00",2430026,KULMAYHDE 110 X 45,0.95,"Match in type, size, and angle. 'HTP' is implied for these standard PP fittings. Customer requested 0 quantity, offer has 15, fulfilling a later request for the same product.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"KULMAYHDE HTP 110X45 15,00",2430026,KULMAYHDE 110 X 45,1.0,"Exact match in type, size, angle, and quantity. 'HTP' is implied for these standard PP fittings.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIKULMA HTP 110X45 0,00",2430226,MUHVIKULMA 110 X 45,0.95,"Match in type, size, and angle. 'HTP' is implied for these standard PP fittings. Customer requested 0 quantity, offer has 15, fulfilling a later request for the same product.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"HTP muhvikulmat MUHVIKULMA HTP 110X45 15,00",2430226,MUHVIKULMA 110 X 45,1.0,"Exact match in type, size, angle, and quantity. 'HTP' is implied for these standard PP fittings.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIHAARA HTP 110X75X45 8,00 kpl",2450446,MUHVIHAARA 110/75 X 45,1.0,"Exact match in type, sizes, angle, and quantity. 'HTP' is implied for these standard PP fittings.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIHAARA HTP 110/110X45 5,00 kpl",2450448,MUHVIHAARA 110/110 X 45,1.0,"Exact match in type, sizes, angle, and quantity. 'HTP' is implied for these standard PP fittings.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
SUPISTUS HT-PP75X50,2470106,SUPISTUSYHDE 75/50,0.95,"'SUPISTUS' and 'SUPISTUSYHDE' both mean reducer/reducing coupling. 'HT-PP' is a type of PP. Sizes 75x50 match. Customer did not specify quantity, offer has 1.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"SUPISTUSYHDE HTP 110-75 3,00",2470112,SUPISTUSYHDE 110/75,1.0,"Exact match in type, sizes, and quantity. 'HTP' is implied for these standard PP fittings.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"Sanka 110 RST 20,00",3232959,TEOLLISUUSPIDIN HST M8/10 DN100 VIEMÄRIPIDIN DU 110 MM,0.95,'Sanka' (clamp) and 'Teollisuuspidin' / 'Viemäripidin' (industrial clamp / drain clamp) are functionally the same. 'RST' (stainless steel) and 'HST' (acid-proof stainless steel) are both stainless steel. DN100 is the nominal size for a 110mm pipe. Quantity matches.,equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"Sanka 75 RST 20,00",3232958,TEOLLISUUSPIDIN HST M8/10 DN65 VIEMÄRIPIDIN DU 75 MM,0.95,'Sanka' (clamp) and 'Teollisuuspidin' / 'Viemäripidin' (industrial clamp / drain clamp) are functionally the same. 'RST' (stainless steel) and 'HST' (acid-proof stainless steel) are both stainless steel. DN65 is the nominal size for a 75mm pipe. Quantity matches.,equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"LATTIAKAIVO PYSTY 75 32 SIVULÄHDÖILLÄ 5,00",3315935,LATTIAKAIVO PYSTY DN75 3X32/40 VIESER ONE,0.95,"Both are vertical floor drains, size 75, with side outlets (32/40 vs 32). 'DN75' is equivalent to 75. Quantity matches. 'VIESER ONE' is a brand.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"VIESER LINE 1000 KOURU + LAATOITETTAVA KANSI 3317321+3317331 1,00",3317321,LATTIAKAIVON KOURU RST 1000 VIESER LINE TT,1.0,Exact match by product code and description for the linear drain channel component. Quantity matches.,exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"VIESER LINE 1000 KOURU + LAATOITETTAVA KANSI 3317321+3317331 1,00",3317331,LAATTAKANSI 1000 VIESER LINE TT,1.0,Exact match by product code and description for the tileable cover component. Quantity matches.,exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"VIESER LINE 700 KOURU + LAATOITETTAVA KANSI 3317318+3317328 1,00",3317318,LATTIAKAIVON KOURU RST 700 TT,1.0,Exact match by product code and description for the linear drain channel component. Quantity matches.,exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"VIESER LINE 700 KOURU + LAATOITETTAVA KANSI 3317318+3317328 1,00",3317328,LAATTAKANSI 700 VIESER LINE TT,1.0,Exact match by product code and description for the tileable cover component. Quantity matches.,exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"LATTIAKAIVO KUIVAKAIVO 1,00",3310431,KUIVAKAIVO 32 MERIKA 221,0.95,'LATTIAKAIVO KUIVAKAIVO' (floor drain dry drain) matches 'KUIVAKAIVO' (dry drain). The size 32 is a common standard for dry drains. Quantity matches.,equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"ALIPAINEVENTTIILI 75 1,00",4162820,ALIPAINEVENTTIILI 50-75-110 VIESER ONE,0.95,The offered vacuum valve is a multi-size model that includes the requested 75mm size. Quantity matches.,equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"ÖLJYN-JA HIEKANEROTIN LABKO MINIPEK 0,2, lvi: 3632213 1,00",3638856,HEPO 0.2/40/120,0.85,"Both are oil and sand separators with a nominal size of 0.2. 'LABKO MINIPEK' and 'HEPO' are different brands, but the function and key specification (0.2) are the same, making it a suitable substitute. Quantity matches.",substitute,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"JALO RAPA-STOPPARI 500 X 800 RST3314751 0,00",3314751,LATTIA-ALLAS RAPA-STOPPARI 500X800 RST KURASYÖPPÖ ONEPIPE PT,1.0,"Exact match by product code and description. Customer requested 0 quantity, offer has 1.",exact,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
LATTIA-ALLAS KURASYÖP 500 X 800,3314751,LATTIA-ALLAS RAPA-STOPPARI 500X800 RST KURASYÖPPÖ ONEPIPE PT,0.95,"This offer product combines the terms 'LATTIA-ALLAS', 'RAPA-STOPPARI', and 'KURASYÖPPÖ' and matches the dimensions. It is the same product as the one explicitly requested by code.",equivalent,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
"MUHVIPUTKI RST ACO 160x1000 1,00 KPL",0250185,MUHVIPUTKI 110X1000 MM S HST BLÜCHER,0.7,"Both are stainless steel socket pipes of 1000mm length. However, the customer requested 160mm diameter, and the offered pipe is 110mm. This is the only RST/HST pipe in the offer, making it an approximate match in type and length, but not diameter.",approximate,2025-09-02T22:15:10.275527,customer_example1.txt + offer_example1.txt
4100 KSK L=3000,8103322,KIERRESAUMAKANAVA 100 X 3000,0.8,"The customer requested 6 meters of 'KSK L=3000' (spiral-seam duct, length 3000). Assuming '4100' is a typo for '100' based on the offer's available diameters and matching quantity (6 M).",approximate,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 125,8103323,KIERRESAUMAKANAVA 125 X 3000,1.0,Exact match for spiral-seam duct with diameter 125 and quantity 60 meters.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 160,8103324,KIERRESAUMAKANAVA 160 X 3000,1.0,Exact match for spiral-seam duct with diameter 160 and quantity 21 meters.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 200,8103325,KIERRESAUMAKANAVA 200 X 3000,1.0,Exact match for spiral-seam duct with diameter 200 and quantity 27 meters.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 250,8103326,KIERRESAUMAKANAVA 250 X 3000,1.0,Exact match for spiral-seam duct with diameter 250 and quantity 9 meters.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 315,8103327,KIERRESAUMAKANAVA 315 X 3000,1.0,Exact match for spiral-seam duct with diameter 315 and quantity 54 meters.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 100 / 90° ky,8100094,KÄYRÄ 90 100,1.0,Exact match for a 90-degree elbow with diameter 100 and quantity 1.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 125 / 90°,8100096,KÄYRÄ 90 125,1.0,Exact match for a 90-degree elbow with diameter 125 and quantity 21.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 160 / 90°,8100098,KÄYRÄ 90 160,1.0,Exact match for a 90-degree elbow with diameter 160 and quantity 5.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 315 / 90°,8100104,KÄYRÄ 90 315,1.0,Exact match for a 90-degree elbow with diameter 315 and quantity 18.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 100 / 45°,8100124,KÄYRÄ 45 100,1.0,Exact match for a 45-degree elbow with diameter 100 and quantity 4.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 125 / 45°,8100126,KÄYRÄ 45 125,1.0,Exact match for a 45-degree elbow with diameter 125 and quantity 4.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 160 / 45°,8100128,KÄYRÄ 45 160,1.0,Exact match for a 45-degree elbow with diameter 160 and quantity 4.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 200 / 45°,8100130,KÄYRÄ 45 200,1.0,Exact match for a 45-degree elbow with diameter 200 and quantity 10.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 315 / 45°,8100134,KÄYRÄ 45 315,1.0,Exact match for a 45-degree elbow with diameter 315 and quantity 2.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 100 TP,8100644,TULPPA PUTKELLE 100,1.0,Exact match for a pipe plug (TP) with diameter 100 and quantity 1.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 125 TP,8100646,TULPPA PUTKELLE 125,1.0,Exact match for a pipe plug (TP) with diameter 125 and quantity 7.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 160 TP,8100648,TULPPA PUTKELLE 160,1.0,Exact match for a pipe plug (TP) with diameter 160 and quantity 2.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 200 TP,8100650,TULPPA PUTKELLE 200,1.0,Exact match for a pipe plug (TP) with diameter 200 and quantity 2.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 100 LYP,8100674,SISÄLIITIN 100,0.95,'LYP' is interpreted as a type of internal connector/coupling ('Sisäliitin'). Diameter 100 and quantity 1 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 125 LYP,8100676,SISÄLIITIN 125,0.95,'LYP' is interpreted as a type of internal connector/coupling ('Sisäliitin'). Diameter 125 and quantity 10 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 160 LYP,8100678,SISÄLIITIN 160,0.95,'LYP' is interpreted as a type of internal connector/coupling ('Sisäliitin'). Diameter 160 and quantity 2 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 200 LYP,8100680,SISÄLIITIN 200,0.95,'LYP' is interpreted as a type of internal connector/coupling ('Sisäliitin'). Diameter 200 and quantity 6 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 250 LYP,8100682,SISÄLIITIN 250,0.95,'LYP' is interpreted as a type of internal connector/coupling ('Sisäliitin'). Diameter 250 and quantity 2 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 315 LYP,8100684,SISÄLIITIN 315,0.95,'LYP' is interpreted as a type of internal connector/coupling ('Sisäliitin'). Diameter 315 and quantity 10 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
phi 315 PL,8313056,PUHDISTUSLUUKKU PIKA JÄLKIAS. 315,1.0,Exact match for a cleaning hatch (PL) with diameter 315 and quantity 3.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
9100/1M8 -lunior kunnake,8352810,ILMASTOINTISANKA SINK M8/10 100,0.9,'kunnake' (bracket) is equivalent to 'ilmastointisanka' (ventilation clamp/hanger). Diameter 100 and M8 match. Quantity 2 matches.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
9125 kunnake,8352812,ILMASTOINTISANKA SINK M8/10 125,0.9,Context 'kunnake' (bracket) is equivalent to 'ilmastointisanka'. Diameter 125 and quantity 20 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
9160 kunnake,8352814,ILMASTOINTISANKA SINK M8/10 160,0.9,Context 'kunnake' (bracket) is equivalent to 'ilmastointisanka'. Diameter 160 and quantity 10 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
9200 kunnake,8352816,ILMASTOINTISANKA SINK M8/10 200,0.9,Context 'kunnake' (bracket) is equivalent to 'ilmastointisanka'. Diameter 200 and quantity 10 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
9250 kunnake,8352818,ILMASTOINTISANKA SINK M8/10 250,0.9,Context 'kunnake' (bracket) is equivalent to 'ilmastointisanka'. Diameter 250 and quantity 20 match.,equivalent,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KSO-125 C + KK:,8720203,POISTOILMAVENTTIILI 125,0.9,'KSO' is a common abbreviation for exhaust air valve ('Poistoilmaventtiili'). Diameter 125 matches. Quantity (13 in offer vs 43 requested) is a mismatch.,approximate,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KSO-125 C + KK:,8717193,KIINNITYSKEHYS VRGU 125,0.9,'KK' refers to a mounting frame ('Kiinnityskehys'). Diameter 125 matches. Quantity (23 in offer vs 43 requested) is a mismatch.,approximate,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KSO-160 C +KK:,8720204,POISTOILMAVENTTIILI 160,1.0,'KSO' is an exhaust air valve. Diameter 160 and quantity 4 match exactly.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KSO-160 C +KK:,8717194,KIINNITYSKEHYS VRGU 160,0.9,'KK' refers to a mounting frame. Diameter 160 matches. Quantity (10 in offer vs 4 requested) is a mismatch.,approximate,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KSO-100 C +KK,8720202,POISTOILMAVENTTIILI 100,1.0,'KSO' is an exhaust air valve. Diameter 100 and quantity 2 match exactly.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KSO-100 C +KK,8717192,KIINNITYSKEHYS VRGU 100,0.9,'KK' refers to a mounting frame. Diameter 100 matches. Quantity (3 in offer vs 2 requested) is a mismatch.,approximate,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
KTS-100 C + KK,8720205,TULOILMAVENTTIILI 100,1.0,'KTS' is a common abbreviation for supply air valve ('Tuloilmaventtiili'). Diameter 100 and quantity 1 match exactly.,exact,2025-09-02T22:22:54.140344,customer_example1.txt + offer_example1.txt
